Title,default,default_short,stability,technical
Pyrolisk,"This creature appears as a large, fiery bird with a vibrant red and orange plumage that seems to flicker and glow like flames. Its eyes are bright yellow, akin to burning coals, and its sharp beak and talons are a contrasting black. When it spreads its wings, they mimic the appearance of a fierce, raging inferno.","This creature resembles a large, red bird with a fiery plumage and piercing, glowing eyes. It has a sharp beak, clawed feet, and its wings are ablaze with an ethereal fire that doesn't seem to harm it.","A Pyrolisk is a mythical bird-like creature, similar to a phoenix, predominantly red in color with hints of orange and yellow, symbolizing fire. It has large, majestic wings, a long, pointed beak, and sharp claws. The creature is often portrayed surrounded by flames or sparks, emphasizing its fiery nature.","The object is a bird-like creature with a plump, round body, and two short legs. It has a pair of wide, spread-out wings and a long, pointed beak. The entire creature is depicted in a fiery red colour."
Jackal,"This creature is a medium-sized carnivorous mammal with a lean body, long legs, and a bushy tail. It has a pointed snout, sharp teeth, and large, alert ears. Its fur is typically a tawny color, blending seamlessly into the arid environments it often inhabits.","This creature is a medium-sized, four-legged canine with a slender body, a bushy tail, and pointed ears. It has a tawny coat with lighter underparts and a dark back, and its eyes gleam with a cunning intelligence.","The Jackal object is a small, quadrupedal creature with a slender body and a long tail, similar in appearance to a real-world jackal. It has a golden-brown coat and sharp, white teeth visible in its slightly open mouth. Its eyes are alert and its ears are pointed, giving it a vigilant and cunning look.","This object is a small, quadrupedal creature, roughly the size of a medium dog, with a slender body and a long, bushy tail. It is covered in short, coarse fur that is a dusty brown or sandy colour, blending well with a desert or savannah environment. Its sharp, pointed ears are pricked upwards, and its snout is elongated, filled with small but sharp teeth."
Fox,"This creature is a small, nimble quadruped with a sleek coat of reddish-brown fur. It has a pointed snout, sharp teeth, and keen, intelligent eyes that are usually a bright shade of amber. Its most distinctive feature is its bushy tail, often tipped with white, which is almost as long as its body.","This creature is a small, quadrupedal mammal with a pointed snout, bushy tail, and reddish-brown fur. Its eyes are sharp and alert, conveying a sense of cunning.","A fox from NetHack is a small, quadrupedal creature with pointed ears and a bushy tail. It is primarily orange in color, with white areas around the mouth, chest, and tip of the tail. The fox has bright, alert eyes and a sharp, pointed snout.","This object is a small, quadrupedal creature with a slender body, a pointed snout, and a bushy tail. It is primarily covered in a bright orange or red fur, with lighter, almost white fur on its underbelly. Its tail is tipped with white, and it has sharp, pointed ears that are usually erect."
Coyote,"This creature resembles a medium-sized canine with a slim, agile body, covered in tawny-grey fur. It possesses sharp, pointed ears and a bushy tail, and its yellow eyes gleam with a cunning intelligence. Its narrow snout is filled with sharp teeth, used for tearing into its prey.","This creature is a medium-sized canine with a slender, agile body, covered in grayish-brown fur. It has pointed ears, sharp teeth, a bushy tail, and bright, intelligent eyes.","A coyote from the game NetHack is a medium-sized, quadrupedal creature with a slender body. It has a brownish-grey fur coat, pointed ears, sharp teeth visible in its open mouth, and a bushy tail. Its eyes are bright and alert, reflecting its cunning nature in the game.","The object is a quadrupedal figure, similar to a canine in shape, with a pointed snout and a bushy tail. It is represented in a simplistic, pixelated style that lacks detailed features. The object is uniformly brown in colour."
Werejackal were,"This entity appears as a humanoid figure with distinct jackal-like features, including pointed ears, a snout, and a bushy tail. Its body is covered in coarse, tawny fur and it stands upright on two legs, with clawed hands held out in front. Its eyes glow with a menacing yellow light, revealing a savage and cunning intelligence.","This creature resembles a humanoid jackal, standing upright on two legs, with a muscular build, sharp claws, and a canine-like head with piercing eyes. It has a coat of short, coarse fur, ranging in color from tawny to grey, and a long, bushy tail.","A Werejackal is a mythical creature with a hybrid form between a human and a jackal. It has a humanoid structure with the head of a jackal, covered in coarse, brownish-grey fur. It stands upright, with clawed hands and feet, sharp teeth, and glowing yellow eyes.","This object appears as a small, quadrupedal creature with a slender, elongated body. It has a pointed snout, upright ears, and a bushy tail, all features reminiscent of a jackal but with a slightly humanoid structure. It is entirely covered in brown fur."
Little dog,"This is a small canine creature, likely a puppy, with a short, sleek coat that varies from light to dark shades. Its tail is wagging excitedly and its eyes are bright and alert. Despite its small size, it carries a sense of vitality and eagerness.","This is a small, four-legged canine with a short coat, likely a puppy due to its size. Its features are simple and undetailed, reflecting the pixelated, monochromatic design typical of early computer graphics.","A small, four-legged creature with a compact, lean body. It is primarily brown in color, with a slightly darker brown tail and ears. The dog has bright, alert eyes, a small black nose, and a friendly, open-mouthed expression.","The object is small and quadrupedal, resembling a canine in shape. It has a short tail and pointed ears. The object is primarily a light brown or tan colour."
Dog,"This entity appears as a medium-sized quadruped with a sleek, short-haired coat that varies in shades from light to dark brown. It has a long tail that wags enthusiastically, and its alert ears perk up at the slightest sound. Its eyes are bright and intelligent, while its mouth, often open in a pant, reveals a pink tongue and sharp white teeth.","This entity appears as a small to medium-sized quadruped with a tail, depicted in a simplistic, monochrome pixel art style. It has pointed ears, a round body, and is generally represented by a 'd' character in a text-based environment.","A medium-sized, four-legged creature with a tail, resembling a typical dog. It should have a brown fur coat with discernible eyes, ears, and a snout. The dog appears friendly and energetic, as typical for dogs in NetHack.","The object is a small, four-legged figure with a pointed snout and a tail, resembling a typical canine shape. It is monochromatic, rendered in white against the game's black background. The object's simplicity leaves no room for detailed features, however, its overall form is distinct and recognisable."
Large dog,"This is a sizable canine with a strong, muscular build, its coat varying in shades from light to dark. Its ears are perky, indicating alertness, and its eyes gleam with intelligence. The broad chest and powerful legs suggest a creature capable of great speed and strength.","This creature is a sizable canine with a robust and muscular body, covered in thick fur. It has a broad head with alert eyes, a strong jaw with sharp teeth, and a long, bushy tail.","The large dog object is a medium-sized quadruped creature, similar in shape to a Labrador or German Shepherd. It is primarily brown in color with a slightly darker muzzle and tail. The dog features a friendly expression, prominent ears, and a wagging tail.","The object is a sizable, quadrupedal figure with a streamlined body shape, suggesting a canine form. It has a pointed snout, floppy ears, and a long, slightly curved tail. Its pixelated representation is predominantly brown, with varying shades indicating fur texture."
Dingo,"This creature resembles a medium-sized, lean dog with a bushy tail, standing about two feet tall. It has a sandy, yellowish-brown coat that helps it blend into arid environments, and its pricked ears and sharp, intelligent eyes give it an alert and wary expression. Its strong jaws and lean, muscular body hint at its capabilities as a predator.","This creature resembles a medium-sized, lean dog with a bushy tail, coated in sandy or yellowish-brown fur. Its features include pointed ears, a long snout, and sharp teeth visible when its mouth is open.","A medium-sized, dog-like creature with a lean, muscular body. It has a sandy or yellowish-brown coat, pricked ears, and a bushy tail. It is agile, alert, and often depicted in a stance ready to pounce or run.","The object is a medium-sized, four-legged creature with a lean, muscular body. It has a bushy tail, pointed ears and a long snout, all rendered in a simple, pixelated style. Its colour palette is a range of tans and browns, giving it a realistic, earthy appearance."
Wolf,"This creature is a medium-sized, four-legged mammal with a thick coat of gray or white fur. It has sharp teeth visible within its snout, piercing yellow eyes, and large, pointed ears perked up on its head. Its tail is bushy, and it carries a powerful, agile physique that suggests it's built for hunting.","This creature is a medium-sized canine with a dense grey coat, sharp teeth, and piercing yellow eyes. It has a lean, muscular body built for speed and powerful jaws capable of delivering a strong bite.","A medium-sized quadruped creature with sharp teeth and a bushy tail. It has a grey fur coat, bright yellow eyes, and large pointed ears. The wolf looks agile and ferocious, embodying its predatory nature in the game NetHack.","The object is a quadrupedal figure, medium-sized and elongated, with a pointed snout and a bushy tail. It is rendered in a simple, pixelated style, with the majority of its body being a monochromatic grey. The object's eyes are two small black pixels, and its mouth and ears are suggested by a few additional dark pixels."
Werewolf were,"This creature appears as a bipedal wolf, standing upright on its hind legs. It has a muscular build, with a coat of dense, dark fur, sharp claws on its hands and feet, and a snarling mouth filled with large, predatory teeth. Its eyes glow a menacing yellow, adding to its fearsome and supernatural appearance.","This entity appears as a humanoid figure with sharp claws, covered in thick, shaggy fur. Its face is distinctly lupine, featuring pointed ears, a snout, and glowing eyes.","A Werewolf from NetHack is a humanoid creature with a muscular build, standing on two legs. It has sharp claws, pointed ears, and a snout, all covered in thick, dark grey or black fur. Its eyes glow a menacing red, and it often displays a snarling expression, showing off its sharp, white teeth.","The object appears as a humanoid figure with a hunched posture, covered in dark grey or black fur, and features distinctly lupine characteristics such as a snout, pointed ears, and sharp claws. Its eyes are a bright, glowing yellow, adding a menacing look. The body shape is muscular and the overall size is larger than a typical human, but smaller than most monsters in the game."
Warg,"This creature appears as a large, fierce wolf with sharp, menacing teeth and glowing red eyes. Its muscular body is covered in thick, matted grey fur, and it moves with a predatory grace. Its powerful jaws and claws hint at its deadly combat abilities.","This creature resembles a large, muscular wolf with sharp, elongated teeth, its fur a mix of grey and brown. Its eyes are a piercing yellow, and it possesses a predatory gaze, along with a pair of pointed ears standing upright on its head.","A Warg is a large, wolf-like creature from the game NetHack. It has a muscular body with sharp claws and teeth, and a thick, grey fur coat. Its eyes are piercing red, giving it an intimidating and fearsome appearance.","This object appears as a large, quadrupedal creature with a muscular build, resembling a wolf in shape. It has a thick, shaggy coat that is a greyish-brown colour. Its eyes are depicted as two white pixels, giving it a menacing look."
Winter wolf cub,"This small creature is covered in a thick, snowy white fur, perfect for blending into a winter landscape. Its piercing blue eyes are full of curiosity and it has sharp, tiny teeth visible when it opens its mouth. Its body is lithe and agile, with a bushy tail and large paws designed for navigating through snowy terrains.","This small creature has thick, snow-white fur and piercing blue eyes, with a lean, muscular body built for survival in harsh winter conditions. Its sharp teeth and claws are clearly visible, even at its young age, hinting at its predatory nature.","A small, quadrupedal creature with sharp features and pointed ears similar to a wolf cub. It has a thick, snowy white fur coat for the winter, with piercing blue eyes. Its paws and snout are slightly darker, almost grey, and it looks playful yet alert.","The object appears as a small, quadrupedal creature, featuring a compact, robust body covered in thick, snowy white fur. Its eyes are two tiny, vibrant points, emitting a fierce icy-blue glow. It also has a fluffy tail, small rounded ears, and a snout with sharp teeth visible, all of which are proportionate to its small body size."
Winter wolf,"This creature is a large, powerful wolf with snow-white fur that almost glows in the cold winter light. Its eyes are a piercing icy blue, and its sharp teeth are visible even when its mouth is closed. Its muscular body is built for survival in harsh climates, with a thick coat of fur and a bushy tail that wraps around its body for warmth.","This creature is a large, powerful wolf with pure white fur and icy blue eyes, exuding an aura of cold. It possesses sharp, gleaming teeth and claws that appear capable of tearing through flesh and bone with ease.","A winter wolf from NetHack is a large, quadrupedal creature with a thick, pure white fur coat. It has glowing blue eyes, sharp fangs, and large paws. The wolf emits a cold aura, visually represented by a subtle blue glow or frosty particles around it.","The object is a quadrupedal creature, similar in size and shape to a large dog, with a long bushy tail. It has a thick, snowy white fur coat that covers its entire body. Its eyes are piercing blue, and it has a sharp, pointed snout filled with visible fangs."
Hell hound pup,"This creature appears as a small, muscular canine, with deep red, almost black, fur that seems to emit a faint glow. Its eyes are a blazing orange, radiating a menacing light, while sharp, white fangs peek out from its snarling mouth. Wisps of smoke occasionally drift from its nostrils, hinting at a fiery breath within.","This creature appears as a small, muscular dog with sleek, black fur, glowing red eyes, and sharp teeth. It has a pair of curled horns on its head and its body radiates a faint, fiery aura.","A Hell hound pup from NetHack is a small, canine-like creature with a fiery red and orange colour scheme, symbolising its association with fire. It has sharp teeth, glowing eyes, and a menacing appearance. The body is sleek and muscular, emitting a slight glow as if it's smouldering from within.","The object appears as a small, four-legged creature with a sleek, muscular build, sharp claws, and pointed ears. Its fur is a vivid shade of red, bordering on orange, and its eyes glow a bright, fiery yellow. Additionally, it has two small, yet noticeable horns protruding from its head, and a thin tail that ends in a pointed tip."
Hell hound,"This creature appears as a large, menacing dog with fiery red eyes and smoke curling from its nostrils. Its dark, sleek fur seems to absorb light, giving it an ominous, shadowy appearance. Flames flicker and dance around its body, particularly along its spine and tail, adding to its fearsome and supernatural aura.","This creature is a large, muscular dog with glowing red eyes and dark, smoky fur that appears to be perpetually ablaze. Its menacing snarl reveals sharp, white fangs, and its tail is long and whip-like, flickering with an ethereal, fiery glow.","A Hell hound from NetHack is a medium-sized, menacing dog-like creature with sharp claws and teeth. It is characterized by its fiery red and orange fur, which seems to flicker and glow like flames. The Hell hound's eyes are a glowing yellow, and it is often depicted surrounded by an aura of heat or small licks of fire.","This object is a medium-sized, four-legged creature with a sleek, muscular build. It has glowing red eyes, sharp teeth, and its entire body is enveloped in bright, flickering flames. Its fur, visible beneath the fire, is a deep, charcoal black."
Cerberus,"This creature is a massive, intimidating hound with three distinct heads, each bearing a set of sharp, menacing teeth. Its body is muscular and covered in thick, dark fur, and it has a long, serpentine tail. Each of its eyes glows with an eerie red light, adding to its overall fearsome appearance.","This entity is a large, menacing three-headed dog with a muscular build, sharp claws, and glowing red eyes. Its body is covered in dark, coarse fur and each of its mouths is filled with razor-sharp teeth.","A three-headed dog-like creature, Cerberus, from the game NetHack. It has a muscular body, sharp claws, and its fur is primarily black with hints of dark red. Each head has glowing red eyes and a menacing snarl, displaying rows of sharp teeth.","This object appears as a large, three-headed dog, each head possessing menacing, glowing red eyes. Its body is muscular and covered in dark, coarse fur, with a long tail that is tipped with a serpent's head. Its stance is aggressive, with sharp claws digging into the ground and bared fangs in each of its three mouths."
Gas spore,"This object appears as a floating, translucent orb filled with a greenish, gaseous substance. Its surface is smooth and slightly luminescent, casting an eerie glow. Thin tendrils, almost like roots, dangle from its underside, wafting gently as if moved by an unseen current.","This object appears as a floating, translucent sphere filled with swirling gas, and is about the size of a human head. Its surface is slightly luminescent, casting a faint glow in its immediate surroundings.","A gas spore from NetHack is a small, spherical object with a simple design. It is primarily orange in color with a few red spots scattered across its surface. The spore has a glossy texture, resembling a floating, inflated balloon.","This object appears as a floating, spherical entity, roughly the size of a small beach ball. It has a translucent surface that reveals a cloud-like substance inside, glowing with a soft, green luminescence. The sphere is otherwise unadorned, with no visible features or appendages."
Floating eye,"A solitary, spherical entity hovers mid-air, its entire surface dominated by a single, large, unblinking eyeball. It possesses a glossy, vibrant blue skin, contrasting starkly with its bright, yellow iris. The pupil at the center is a deep black void, absorbing all light and exuding an eerie sense of omniscience.","It's a solitary, disembodied eyeball that levitates in mid-air. The iris in the center is a vibrant blue, and the whole eye is surrounded by a translucent, shimmering aura.","A floating eye object from the game NetHack is a spherical, hovering entity. It is primarily blue in colour, with a large, centrally-located eye that is white with a black pupil. The entity has a slightly translucent, ethereal appearance, giving it a ghostly, supernatural look.","This object appears as a singular, spherical entity, devoid of any appendages or additional features. It is characterized by a uniform, bright blue hue that covers its entire surface. The most prominent feature is a large, central eye, complete with a black pupil and white sclera, which occupies a significant portion of its front-facing side."
Freezing sphere,"This object appears as a transparent, crystalline orb filled with swirling, icy-blue mist. It's small enough to fit comfortably in the palm of a hand. When observed closely, one might notice tiny sparks of white light dancing within, like a frozen storm trapped inside a glass snow globe.","It appears as a transparent, crystalline orb, filled with swirling, icy-blue mist. The orb emanates a palpable chill, frosting its surface with a delicate layer of frost.","A spherical object that appears frozen, exhibiting a shimmering icy blue hue. The sphere should have a textured surface that implies a cold, icy, and crystalline structure. A faint glow should emanate from the sphere, indicating its magical nature.","This object appears as a perfectly round sphere, similar in size to a small ball. It possesses a transparent icy blue hue, giving the impression of being made entirely from solid, frozen water. The surface of the sphere is smooth and glossy, reflecting light like a frozen droplet."
Flaming sphere,"A glowing orb of fire hovers mid-air, radiating intense heat that distorts the air around it. The sphere, about the size of a small boulder, crackles and pulses with vibrant, dancing flames. Its incandescent hues of red, orange, and yellow flicker and shift, casting a fierce, fiery glow on its surroundings.","A fiery orb radiates intense heat, its surface roiling with bright, dancing flames. It hovers slightly above the ground, casting flickering shadows on its surroundings.","A round, bright sphere with a vivid flaming orange-red colour, resembling a fireball. It should emit a glow, suggesting intense heat and light. The sphere should appear to be in motion, with dynamic, swirling flames wrapping around its surface.","The object appears as a perfectly round sphere that radiates a bright, fiery orange glow. It seems to be composed entirely of flickering flames that dance across its surface, giving it a constant, lively motion. Despite its fiery nature, it does not appear to emit any smoke or leave any traces of ash behind."
Shocking sphere,"This object appears as a pulsating orb of crackling energy, casting a harsh blue-white light in its immediate vicinity. Jagged arcs of electricity intermittently leap from its surface, giving it an unpredictable and dangerous aura. Its ethereal form constantly shifts and moves, making it hard to discern its exact size and shape.","It's a pulsating ball of electric energy, crackling with bright blue and white sparks. The sphere is surrounded by an aura of shimmering light, giving it an ethereal appearance.","The Shocking Sphere is a round object with a smooth surface, predominantly glowing in vibrant electric blue colour. It is characterized by sparks of electricity crackling around it, creating a bright and energetic aura. The sphere appears to float, and its radiant energy gives it a slightly blurred outline.","The object is spherical in shape, resembling a perfect, unblemished orb. It exhibits a vibrant, electric blue hue that seems to pulsate with a subtle, inner light. The surface of the sphere appears smooth and glossy, giving off a faint glow."
Beholder,"This entity appears as a large, floating spheroid creature, covered in tough, leathery skin. It possesses a single, oversized eye in the center, surrounded by numerous smaller eyes, each mounted on flexible stalks protruding from its body. Its wide, fanged mouth gapes below the central eye, completing its menacing appearance.","This entity is a large, floating spheroid with a single, giant eye in the center, surrounded by numerous smaller eyes on stalks protruding from the top. Its mouth is filled with sharp teeth, giving it a menacing appearance.","A Beholder is a large, spheroid creature with a single, central eye and numerous smaller eyes on stalks protruding from the top. Its body is primarily a dark purple, while the eyes vary in color. Notable features include its large, sharp-toothed mouth and its levitating ability.","This object is a large, spherical entity, predominantly of a dark grey hue. It features a single, central eye, surrounded by numerous smaller eyes on stalk-like protrusions extending from the main body. The entity is devoid of any other physical characteristics or carried items."
Kitten,"A small, furry creature with a light, nimble body, it has a pair of bright, curious eyes and a tiny pink nose. It has soft, pointed ears that twitch at the slightest sound and a slender tail that swishes playfully. Its coat is a smooth, glossy shade that can vary from pure white to black, or even a mix of colors.","This entity appears as a small, agile creature covered in soft fur, typically in shades of grey or orange. It has sharp claws, pointed ears, and large, curious eyes.","A small, four-legged creature with a round face, pointed ears, and a small nose. It has soft, fluffy fur in shades of grey or brown, with bright, round eyes that are either blue or green. The kitten is playful and curious, often depicted with a ball of yarn or chasing its tail.","The object is a small, four-legged creature with a rounded body, pointed ears, and a tail, resembling a typical feline shape. It is primarily black in color, with white detailing for its eyes. Its form is represented in a pixelated style, typical of the game's retro, ASCII graphics."
Housecat,"This small creature has soft, short fur that can range in color from white to black, often with patches or stripes. It has bright, inquisitive eyes, a small pink nose, and sharp retractable claws. It moves with a graceful agility, often purring contentedly or flicking its tail in curiosity.","This is a small, quadrupedal creature with a sleek, short-haired coat that can vary from black, white, or orange. It has sharp claws, a long tail, pointed ears, and green or yellow eyes.","A small, quadrupedal creature with a sleek, feline shape. It has a coat of short, soft fur in varying shades of grey or brown. Distinctive features include pointed ears, bright green eyes, a long tail, and sharp claws.","This object is a small, quadrupedal figure with a rounded head and pointed ears, indicative of a feline form. It is rendered in a monochromatic palette, typically black or dark grey. The figure also features a long, curved line extending from the rear to represent a tail."
Jaguar,"This creature is a large, muscular feline with a sleek, golden-orange coat that is adorned with distinctive black rosettes. It has a strong, square-shaped jaw, and its eyes are a piercing yellow. Its body is designed for speed and agility, and it carries a sense of dangerous elegance.","This creature is a large, powerful cat with a yellow-orange coat covered in black spots. It has a muscular body, a broad head with strong jaws, and piercing green eyes.","A jaguar from NetHack is a quadruped creature with a sleek, muscular body. It has a deep yellow-orange coat covered in black rosettes, and sharp claws. Its eyes are piercing and alert, indicative of its predatory nature.","The object is depicted as a large, sleek, quadrupedal figure with a streamlined body and a distinctively long tail. It is represented in a monochromatic scheme, typically a shade of light grey or white to represent its spotted coat. Its head is small with pointed ears and it possesses a muscular, robust build, visually communicating its predatory nature."
